PROVA,DATA,LOCAL,PROVA DE EQUIPA,Link
UTAX,2026/10/16,Lousã,Não,https://stopandgo.net/events/utax-axtrail2026
DOURO ULTRA TRAIL,2024/10/24,Peso da Régua,Não,https://lap2go.com/pt/event/douro-ultra-trail-2024
PASTOR ARRIMALANO,2024/11/03,Arrimal,Não,https://www.recordepessoal.pt/evento/8trailcarreirosdopastorarrimalano
TAÇA CONCELHO DE PdM,2024/11/17,Porto de Mós,Não,https://www.recordepessoal.pt/evento/tacaconcelhoportodemos2024
TRAIL AMIZADE,2024/12/01,Ansião,Não,https://stopandgo.net/events/trail-da-amizade-2024
SAO SILVESTRE ALQUEIDAO DA SERRA,2024/12/07,Alqueidão da Serra,Não,https://www.recordepessoal.pt/evento/7saosilvestredealqueidaodaserra
SÃO SILVESTRE DA BATALHA,2024/12/14,Batalha,Não,https://www.recordepessoal.pt/evento/11ssilvestredabatalha2024
PICOS DO AÇOR,2024/12/15,Arganil,Não,https://stopandgo.net/events/desafio-picos-do-acor-2024
CORRIDA DOS REIS ,2025/01/05,Fatima,Não,https://www.recordepessoal.pt/evento/6corridadosreis-bencaodoatleta
TRILHOS DOS REIS,2025/01/12,Portalegre,Não,https://www.trilhosdosreis.pt/
CROSS LAMINHA,2025/01/14,Cumeira,Não,https://www.portugalrunning.com/eventos/cross-laminha-2024/
TRAIL SERRA D'AIRE,2025/01/18,Ourém,Não,https://www.recordepessoal.pt/evento/9edicaodotrailserradaire
LINHA DE TORRES 100,2025/02/02,Torres Vedras,Não,https://www.linhasdetorres100.com/
TRILHOS DOS ABUTRES,2025/02/02,Miranda do Corvo,Sim,https://trilhos.abutres.net/en/home/
TRAIL CASTELEJO 2025,2025/02/09,Alvados,Sim,https://www.recordepessoal.pt/inscricao/trailcastelejo2025
TRAIL OFF-ROAD DA BARREIRA,2025/02/16,Barreira,Sim,https://www.recordepessoal.pt/evento/11trailoff-roaddabarreira?prova=
TAUT,2025/03/09,Ansião,Sim,https://stopandgo.net/events/taut-terras-do-anciao-ultra-trail-2025
ULTRA TRAIL DO MARÃO,2025/03/29,Amarante,Sim,https://utmarao.pt
RR Meia Maratona Fátima,2025/03/30,Fátima,Não,BOL
PIODÃO TRAIL RUNNING,2025/04/05,Piodão,Não,https://www.ultrapiodao.com/
CARAMULO MAGIC TRAIL,2025/04/06,Tondela,Sim,https://carlossanatureevents.com/pt/cmt
TRAIL DA CURVACHIA,2025/04/06,Leira,Não,https://www.recordepessoal.pt/evento/3traildacurvachia
2º Trilhos Verdes,2025/04/13,Alpedriz,Não,https://www.recordepessoal.pt/evento/2edicaotrilhosverdes
7 CIDADES ULTIMATE TRAIL,2025/05/10,Açores,Não,https://7cut.cattt.pt/
Estrela Grande Trail,2025/05/11,Manteigas,Sim,https://stopandgo.net/events/estrela-grande-trail-2025
RAMPA PDM,2025/05/18,Porto de Mós,Não,https://www.recordepessoal.pt/evento/17kmportodemos-serradeaire-2025
Anadia Capital do Espumante,2025/05/25,Anadia,Não,https://stopandgo.net/events/trail-anadia-capital-do-espumante-2025/stats
LA SPORTIVA LAVAREDO ULTRA TRAIL,2025/06/25,Lavaredo,Não,https://lavaredo.utmb.world/
MONT-BLANC MARATHON,2025/06/26,Chamonix,Não,https://www.marathonmontblanc.fr/en
2º Trail – ACR Calvariense 2026,2026/09/13,Calvaria de Cima,Não,https://www.recordepessoal.pt/evento/2trailacrcalvariense2026
